tag_index = 0, r2 = 0.348317, mse = 6.856729, y_average = 1.506173
tag_index = 1, r2 = 0.316041, mse = 3.717790, y_average = 1.072310
tag_index = 2, r2 = 0.375450, mse = 1.857057, y_average = 0.677249
tag_index = 3, r2 = 0.288153, mse = 0.804749, y_average = 0.430335
tag_index = 4, r2 = 0.010579, mse = 2.754519, y_average = 0.546737
tag_index = 5, r2 = -0.026560, mse = 39.949710, y_average = 1.301587
tag_index = 6, r2 = -0.014489, mse = 81.530796, y_average = 2.047619
tag_index = 7, r2 = -0.017543, mse = 36.863871, y_average = 1.647266
tag_index = 8, r2 = 0.069702, mse = 40.573144, y_average = 2.121693
tag_index = 9, r2 = 0.079411, mse = 44.992675, y_average = 2.142857
tag_index = 10, r2 = 0.166719, mse = 42.190551, y_average = 2.345679
tag_index = 11, r2 = 0.241232, mse = 33.042220, y_average = 2.232804
tag_index = 12, r2 = 0.213048, mse = 32.456958, y_average = 2.393298
tag_index = 13, r2 = 0.198308, mse = 41.887714, y_average = 2.529101
tag_index = 14, r2 = 0.160654, mse = 49.889573, y_average = 2.619048
tag_index = 15, r2 = 0.217103, mse = 33.759466, y_average = 2.493827
tag_index = 16, r2 = 0.183187, mse = 39.613438, y_average = 2.400353
tag_index = 17, r2 = 0.226007, mse = 29.782304, y_average = 2.379189
tag_index = 18, r2 = 0.202525, mse = 25.193479, y_average = 2.171076
tag_index = 19, r2 = 0.327175, mse = 15.370264, y_average = 2.086420
tag_index = 20, r2 = 0.337086, mse = 15.596973, y_average = 2.116402
tag_index = 21, r2 = 0.328594, mse = 11.637747, y_average = 1.927690
tag_index = 22, r2 = 0.260707, mse = 7.986004, y_average = 1.650794
tag_index = 23, r2 = 0.285692, mse = 6.300458, y_average = 1.467372
