tag_index = 0, r2 = 0.843035, mse = 68.633820, y_average = 7.343750
tag_index = 1, r2 = 0.815435, mse = 40.443128, y_average = 5.382812
tag_index = 2, r2 = 0.742021, mse = 26.157598, y_average = 3.257812
tag_index = 3, r2 = 0.572765, mse = 10.921082, y_average = 2.015625
tag_index = 4, r2 = 0.330232, mse = 52.183704, y_average = 3.093750
tag_index = 5, r2 = 0.204740, mse = 310.020125, y_average = 6.179688
tag_index = 6, r2 = 0.275632, mse = 571.961550, y_average = 8.734375
tag_index = 7, r2 = 0.483527, mse = 315.879543, y_average = 8.750000
tag_index = 8, r2 = 0.742052, mse = 177.442980, y_average = 9.640625
tag_index = 9, r2 = 0.762424, mse = 158.068342, y_average = 9.578125
tag_index = 10, r2 = 0.813103, mse = 142.821510, y_average = 10.148438
tag_index = 11, r2 = 0.784385, mse = 233.353132, y_average = 10.335938
tag_index = 12, r2 = 0.829144, mse = 154.698288, y_average = 10.570312
tag_index = 13, r2 = 0.811418, mse = 201.099157, y_average = 10.679688
tag_index = 14, r2 = 0.825642, mse = 197.380673, y_average = 11.242188
tag_index = 15, r2 = 0.834182, mse = 138.547989, y_average = 10.273438
tag_index = 16, r2 = 0.858286, mse = 119.447264, y_average = 10.226562
tag_index = 17, r2 = 0.822786, mse = 156.697685, y_average = 10.570312
tag_index = 18, r2 = 0.860251, mse = 88.302761, y_average = 9.265625
tag_index = 19, r2 = 0.875418, mse = 75.993113, y_average = 9.367188
tag_index = 20, r2 = 0.873179, mse = 82.648352, y_average = 9.734375
tag_index = 21, r2 = 0.880578, mse = 53.377966, y_average = 8.875000
tag_index = 22, r2 = 0.861383, mse = 54.687232, y_average = 7.890625
tag_index = 23, r2 = 0.862267, mse = 45.217385, y_average = 7.015625
